metric,value
actual_row_count,1995177
forecast_row_count,1990148
matched_row_count,1978813
actual_only_count,16364
forecast_only_count,11335
duplicate_actual_records_by_datetime_device,0
duplicate_forecast_records_by_datetime_device,0
missing_actual_plant_name_count,360529
missing_forecast_plant_name_count,359655
missing_actual_fuel_type_count,406496
missing_forecast_fuel_type_count,405503
missing_actual_gen_mw_count,0
missing_forecast_gen_mw_count,0
negative_actual_gen_mw_count,376143
negative_forecast_gen_mw_count,7008
actual_gen_mw_greater_than_gen_mw_max_count,315315
forecast_gen_mw_greater_than_gen_mw_max_count,1159
zero_or_missing_actual_gen_mw_max_count,436029
zero_or_missing_forecast_gen_mw_max_count,395648
actual_status_1,1519992
actual_status_0,475185
forecast_status_Closed,1806460
forecast_status_Open,183688
